2023-11-29 16:29:37, INFO: Using device: cuda:0
2023-11-29 16:29:37, INFO: human number: 5
2023-11-29 16:29:37, INFO: Not randomize human's radius and preferred speed
2023-11-29 16:29:37, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2023-11-29 16:29:37, INFO: Square width: 9.0, circle width: 4.0
2023-11-29 16:29:37, INFO: Using robot policy: sarl_sac
2023-11-29 16:29:37, INFO: Policy: CADRL without occupancy map
2023-11-29 16:29:37, INFO: episode:0, reward:-0.03, memory size:81, time:20.25, info:Timeout
2023-11-29 16:29:38, INFO: episode:1, reward:-0.07, memory size:162, time:20.25, info:Timeout
2023-11-29 16:29:38, INFO: episode:2, reward:-0.01, memory size:243, time:20.25, info:Timeout
2023-11-29 16:29:38, INFO: episode:3, reward:-0.03, memory size:324, time:20.25, info:Timeout
2023-11-29 16:29:38, INFO: episode:4, reward:-0.04, memory size:405, time:20.25, info:Timeout
2023-11-29 16:29:38, INFO: episode:5, reward:-0.29, memory size:480, time:18.75, info:Collision
2023-11-29 16:29:39, INFO: episode:6, reward:-0.31, memory size:559, time:19.75, info:Collision
2023-11-29 16:29:39, INFO: episode:7, reward:-0.00, memory size:640, time:20.25, info:Timeout
2023-11-29 16:29:39, INFO: episode:8, reward:0.00, memory size:721, time:20.25, info:Timeout
2023-11-29 16:29:39, INFO: episode:9, reward:0.01, memory size:802, time:20.25, info:Timeout
2023-11-29 16:29:39, INFO: episode:10, reward:-0.24, memory size:858, time:14.00, info:Collision
2023-11-29 16:29:39, INFO: episode:11, reward:-0.07, memory size:939, time:20.25, info:Timeout
2023-11-29 16:29:39, INFO: episode:12, reward:-0.02, memory size:1020, time:20.25, info:Timeout
2023-11-29 16:29:40, INFO: episode:13, reward:-0.05, memory size:1101, time:20.25, info:Timeout
2023-11-29 16:29:40, INFO: episode:14, reward:-0.07, memory size:1182, time:20.25, info:Timeout
2023-11-29 16:29:40, INFO: episode:15, reward:-0.02, memory size:1263, time:20.25, info:Timeout
2023-11-29 16:29:40, INFO: episode:16, reward:0.00, memory size:1344, time:20.25, info:Timeout
2023-11-29 16:29:40, INFO: episode:17, reward:-0.06, memory size:1425, time:20.25, info:Timeout
2023-11-29 16:29:40, INFO: episode:18, reward:-0.01, memory size:1506, time:20.25, info:Timeout
2023-11-29 16:29:41, INFO: episode:19, reward:-0.01, memory size:1587, time:20.25, info:Timeout
2023-11-29 16:29:41, INFO: episode:20, reward:-0.01, memory size:1668, time:20.25, info:Timeout
