2023-05-13 06:59:43,166, INFO: TRAIN OurMulti in episode 1 has success rate: 0.00, collision rate: 1.00, nav time: 14.0, total reward: 19.909,V_MeanSquareError:1.0533,times:28
2023-05-13 07:00:05,338, INFO: TRAIN OurMulti in episode 2 has success rate: 0.00, collision rate: 1.00, nav time: 9.0, total reward: 22.263,V_MeanSquareError:1.2261,times:18
2023-05-13 07:00:24,189, INFO: TRAIN OurMulti in episode 3 has success rate: 0.00, collision rate: 1.00, nav time: 17.5, total reward: 18.656,V_MeanSquareError:1.0106,times:35
2023-05-13 07:00:39,922, INFO: TRAIN OurMulti in episode 4 has success rate: 0.00, collision rate: 1.00, nav time: 11.5, total reward: 13.203,V_MeanSquareError:0.9222,times:23
2023-05-13 07:00:58,470, INFO: TRAIN OurMulti in episode 5 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 13.534,V_MeanSquareError:1.0736,times:100
2023-05-13 07:01:15,224, INFO: TRAIN OurMulti in episode 6 has success rate: 0.00, collision rate: 1.00, nav time: 15.5, total reward: 22.345,V_MeanSquareError:1.2115,times:31
2023-05-13 07:01:31,733, INFO: TRAIN OurMulti in episode 7 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 17.196,V_MeanSquareError:1.1767,times:100
2023-05-13 07:01:51,208, INFO: TRAIN OurMulti in episode 8 has success rate: 0.00, collision rate: 1.00, nav time: 10.5, total reward: 21.204,V_MeanSquareError:1.1038,times:21
2023-05-13 07:02:08,472, INFO: TRAIN OurMulti in episode 9 has success rate: 0.00, collision rate: 1.00, nav time: 14.5, total reward: 17.335,V_MeanSquareError:0.9758,times:29
2023-05-13 07:02:30,945, INFO: TRAIN OurMulti in episode 10 has success rate: 0.00, collision rate: 1.00, nav time: 12.5, total reward: 22.143,V_MeanSquareError:0.9554,times:25
2023-05-13 07:02:47,485, INFO: TRAIN OurMulti in episode 11 has success rate: 0.00, collision rate: 1.00, nav time: 13.0, total reward: 20.174,V_MeanSquareError:1.0614,times:26
2023-05-13 07:03:06,968, INFO: TRAIN OurMulti in episode 12 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 15.23,V_MeanSquareError:1.1805,times:100
2023-05-13 07:03:21,290, INFO: TRAIN OurMulti in episode 13 has success rate: 0.00, collision rate: 1.00, nav time: 16.5, total reward: 18.32,V_MeanSquareError:0.9509,times:33
2023-05-13 07:03:41,659, INFO: TRAIN OurMulti in episode 14 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 23.098,V_MeanSquareError:0.9264,times:100
2023-05-13 07:03:55,367, INFO: TRAIN OurMulti in episode 15 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 23.741,V_MeanSquareError:1.194,times:100
2023-05-13 07:04:14,807, INFO: TRAIN OurMulti in episode 16 has success rate: 0.00, collision rate: 1.00, nav time: 16.0, total reward: 15.797,V_MeanSquareError:1.149,times:32
2023-05-13 07:04:32,842, INFO: TRAIN OurMulti in episode 17 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 21.37,V_MeanSquareError:1.2116,times:100
2023-05-13 07:04:49,864, INFO: TRAIN OurMulti in episode 18 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 18.112,V_MeanSquareError:0.9947,times:100
2023-05-13 07:05:08,254, INFO: TRAIN OurMulti in episode 19 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 12.201,V_MeanSquareError:1.0035,times:100
2023-05-13 07:05:27,925, INFO: TRAIN OurMulti in episode 20 has success rate: 0.00, collision rate: 1.00, nav time: 16.0, total reward: 21.831,V_MeanSquareError:1.2056,times:32
2023-05-13 07:05:43,653, INFO: TRAIN OurMulti in episode 21 has success rate: 0.00, collision rate: 1.00, nav time: 12.0, total reward: 18.636,V_MeanSquareError:1.0364,times:24
2023-05-13 07:06:06,173, INFO: TRAIN OurMulti in episode 22 has success rate: 0.00, collision rate: 1.00, nav time: 16.0, total reward: 13.341,V_MeanSquareError:1.1177,times:32
2023-05-13 07:06:21,315, INFO: TRAIN OurMulti in episode 23 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 18.364,V_MeanSquareError:0.9744,times:100
2023-05-13 07:06:37,300, INFO: TRAIN OurMulti in episode 24 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 14.594,V_MeanSquareError:1.1001,times:100
2023-05-13 07:06:58,978, INFO: TRAIN OurMulti in episode 25 has success rate: 0.00, collision rate: 1.00, nav time: 10.0, total reward: 18.836,V_MeanSquareError:1.0485,times:20
2023-05-13 07:07:15,911, INFO: TRAIN OurMulti in episode 26 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 21.899,V_MeanSquareError:1.1969,times:100
2023-05-13 07:07:32,806, INFO: TRAIN OurMulti in episode 27 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 19.833,V_MeanSquareError:1.1749,times:100
2023-05-13 07:07:53,185, INFO: TRAIN OurMulti in episode 28 has success rate: 0.00, collision rate: 1.00, nav time: 16.5, total reward: 22.735,V_MeanSquareError:1.0853,times:33
2023-05-13 07:08:10,717, INFO: TRAIN OurMulti in episode 29 has success rate: 0.00, collision rate: 1.00, nav time: 16.0, total reward: 19.387,V_MeanSquareError:1.1218,times:32
2023-05-13 07:08:30,544, INFO: TRAIN OurMulti in episode 30 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 22.113,V_MeanSquareError:1.1803,times:100
2023-05-13 07:08:48,296, INFO: TRAIN OurMulti in episode 31 has success rate: 0.00, collision rate: 1.00, nav time: 17.0, total reward: 21.519,V_MeanSquareError:1.1639,times:34
2023-05-13 07:09:01,293, INFO: TRAIN OurMulti in episode 32 has success rate: 0.00, collision rate: 1.00, nav time: 13.5, total reward: 17.714,V_MeanSquareError:1.1195,times:27
2023-05-13 07:09:23,709, INFO: TRAIN OurMulti in episode 33 has success rate: 0.00, collision rate: 1.00, nav time: 14.5, total reward: 20.222,V_MeanSquareError:0.9638,times:29
2023-05-13 07:09:41,467, INFO: TRAIN OurMulti in episode 34 has success rate: 0.00, collision rate: 1.00, nav time: 17.0, total reward: 21.04,V_MeanSquareError:1.0347,times:34
2023-05-13 07:09:59,199, INFO: TRAIN OurMulti in episode 35 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 17.602,V_MeanSquareError:0.9354,times:100
2023-05-13 07:10:18,773, INFO: TRAIN OurMulti in episode 36 has success rate: 0.00, collision rate: 1.00, nav time: 9.0, total reward: 13.937,V_MeanSquareError:1.188,times:18
2023-05-13 07:10:36,418, INFO: TRAIN OurMulti in episode 37 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 13.663,V_MeanSquareError:1.1772,times:100
2023-05-13 07:10:49,138, INFO: TRAIN OurMulti in episode 38 has success rate: 0.00, collision rate: 1.00, nav time: 13.0, total reward: 20.179,V_MeanSquareError:1.1063,times:26
2023-05-13 07:11:11,184, INFO: TRAIN OurMulti in episode 39 has success rate: 0.00, collision rate: 1.00, nav time: 8.0, total reward: 19.595,V_MeanSquareError:1.0977,times:16
2023-05-13 07:11:25,931, INFO: TRAIN OurMulti in episode 40 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 22.619,V_MeanSquareError:1.032,times:100
2023-05-13 07:11:43,734, INFO: TRAIN OurMulti in episode 41 has success rate: 0.00, collision rate: 1.00, nav time: 11.0, total reward: 13.947,V_MeanSquareError:1.1756,times:22
2023-05-13 07:12:02,220, INFO: TRAIN OurMulti in episode 42 has success rate: 0.00, collision rate: 1.00, nav time: 17.5, total reward: 19.137,V_MeanSquareError:1.0025,times:35
2023-05-13 07:12:21,464, INFO: TRAIN OurMulti in episode 43 has success rate: 0.00, collision rate: 1.00, nav time: 11.5, total reward: 16.539,V_MeanSquareError:1.0804,times:23
2023-05-13 07:12:37,830, INFO: TRAIN OurMulti in episode 44 has success rate: 0.00, collision rate: 1.00, nav time: 12.0, total reward: 14.476,V_MeanSquareError:1.1836,times:24
2023-05-13 07:12:58,720, INFO: TRAIN OurMulti in episode 45 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 17.126,V_MeanSquareError:1.0617,times:100
2023-05-13 07:13:14,989, INFO: TRAIN OurMulti in episode 46 has success rate: 0.00, collision rate: 1.00, nav time: 16.5, total reward: 19.882,V_MeanSquareError:0.9604,times:33
2023-05-13 07:13:33,319, INFO: TRAIN OurMulti in episode 47 has success rate: 0.00, collision rate: 1.00, nav time: 14.5, total reward: 23.701,V_MeanSquareError:1.1272,times:29
2023-05-13 07:13:53,171, INFO: TRAIN OurMulti in episode 48 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 15.043,V_MeanSquareError:1.2191,times:100
2023-05-13 07:14:11,857, INFO: TRAIN OurMulti in episode 49 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 21.616,V_MeanSquareError:1.1247,times:100
2023-05-13 07:14:30,656, INFO: TRAIN OurMulti in episode 50 has success rate: 0.00, collision rate: 1.00, nav time: 15.5, total reward: 14.337,V_MeanSquareError:1.0793,times:31
2023-05-13 07:14:46,052, INFO: TRAIN OurMulti in episode 51 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 17.226,V_MeanSquareError:1.1244,times:100
2023-05-13 07:15:06,980, INFO: TRAIN OurMulti in episode 52 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 21.836,V_MeanSquareError:1.2762,times:100
