2022-09-15 21:58:54, INFO: Using device: cpu
2022-09-15 21:58:54, INFO: human number: 5
2022-09-15 21:58:54, INFO: Not randomize human's radius and preferred speed
2022-09-15 21:58:54, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2022-09-15 21:58:54, INFO: Square width: 10.0, circle width: 4.0
2022-09-15 21:58:55, INFO: episode:0, reward:-50.73, memory size:97, time:24.25, info:Timeout
2022-09-15 21:58:55, INFO: episode:1, reward:-49.86, memory size:194, time:24.25, info:Timeout
2022-09-15 21:58:55, INFO: episode:2, reward:-19.43, memory size:227, time:8.25, info:Collision
2022-09-15 21:58:55, INFO: episode:3, reward:-51.93, memory size:324, time:24.25, info:Timeout
2022-09-15 21:58:55, INFO: episode:4, reward:-41.08, memory size:421, time:24.25, info:Timeout
2022-09-15 21:58:56, INFO: episode:5, reward:-54.13, memory size:518, time:24.25, info:Timeout
2022-09-15 21:58:56, INFO: episode:6, reward:-42.53, memory size:615, time:24.25, info:Timeout
2022-09-15 21:58:56, INFO: episode:7, reward:-50.84, memory size:712, time:24.25, info:Timeout
2022-09-15 21:58:56, INFO: episode:8, reward:-45.72, memory size:809, time:24.25, info:Timeout
2022-09-15 21:58:56, INFO: episode:9, reward:-20.05, memory size:839, time:7.5, info:Collision
2022-09-15 21:58:57, INFO: episode:10, reward:-53.09, memory size:936, time:24.25, info:Timeout
2022-09-15 21:58:57, INFO: episode:11, reward:-41.34, memory size:1033, time:24.25, info:Timeout
2022-09-15 21:58:57, INFO: episode:12, reward:-20.84, memory size:1067, time:8.5, info:Collision
2022-09-15 21:58:57, INFO: episode:13, reward:-54.89, memory size:1164, time:24.25, info:Timeout
2022-09-15 21:58:57, INFO: episode:14, reward:-38.36, memory size:1242, time:19.5, info:Collision
2022-09-15 21:58:58, INFO: episode:15, reward:-44.39, memory size:1339, time:24.25, info:Timeout
2022-09-15 21:58:58, INFO: episode:16, reward:-60.68, memory size:1436, time:24.25, info:Timeout
2022-09-15 21:58:58, INFO: episode:17, reward:-24.82, memory size:1479, time:10.75, info:Collision
2022-09-15 21:58:58, INFO: episode:18, reward:-54.84, memory size:1576, time:24.25, info:Timeout
2022-09-15 21:58:58, INFO: episode:19, reward:-49.29, memory size:1673, time:24.25, info:Timeout
2022-09-15 21:58:59, INFO: episode:20, reward:-58.33, memory size:1770, time:24.25, info:Timeout
2022-09-15 21:58:59, INFO: episode:21, reward:-47.90, memory size:1867, time:24.25, info:Timeout
2022-09-15 21:58:59, INFO: episode:22, reward:-22.63, memory size:1904, time:9.25, info:Collision
2022-09-15 21:58:59, INFO: episode:23, reward:-40.75, memory size:2001, time:24.25, info:Timeout
2022-09-15 21:58:59, INFO: episode:24, reward:-50.46, memory size:2098, time:24.25, info:Timeout
2022-09-15 21:59:00, INFO: episode:25, reward:-40.87, memory size:2195, time:24.25, info:Timeout
2022-09-15 21:59:00, INFO: episode:26, reward:-48.15, memory size:2292, time:24.25, info:Timeout
2022-09-15 21:59:00, INFO: episode:27, reward:-31.09, memory size:2362, time:17.5, info:Collision
2022-09-15 21:59:00, INFO: episode:28, reward:-39.32, memory size:2459, time:24.25, info:Timeout
2022-09-15 21:59:00, INFO: episode:29, reward:-53.29, memory size:2556, time:24.25, info:Timeout
2022-09-15 21:59:00, INFO: episode:30, reward:-25.87, memory size:2600, time:11.0, info:Collision
2022-09-15 21:59:01, INFO: episode:31, reward:-50.01, memory size:2697, time:24.25, info:Timeout
2022-09-15 21:59:01, INFO: episode:32, reward:-19.72, memory size:2730, time:8.25, info:Collision
2022-09-15 21:59:01, INFO: episode:33, reward:-55.23, memory size:2827, time:24.25, info:Timeout
2022-09-15 21:59:01, INFO: episode:34, reward:-53.12, memory size:2919, time:23.0, info:Collision
2022-09-15 21:59:01, INFO: episode:35, reward:-55.12, memory size:3016, time:24.25, info:Timeout
2022-09-15 21:59:02, INFO: episode:36, reward:-49.82, memory size:3113, time:24.25, info:Timeout
2022-09-15 21:59:02, INFO: episode:37, reward:-52.65, memory size:3210, time:24.25, info:Timeout
2022-09-15 21:59:02, INFO: episode:38, reward:-42.74, memory size:3307, time:24.25, info:Timeout
2022-09-15 21:59:02, INFO: episode:39, reward:-46.68, memory size:3404, time:24.25, info:Timeout
2022-09-15 21:59:03, INFO: episode:40, reward:-40.39, memory size:3482, time:19.5, info:Collision
2022-09-15 21:59:03, INFO: episode:41, reward:-22.76, memory size:3519, time:9.25, info:Collision
2022-09-15 21:59:03, INFO: episode:42, reward:-40.78, memory size:3616, time:24.25, info:Timeout
2022-09-15 21:59:03, INFO: episode:43, reward:-49.98, memory size:3713, time:24.25, info:Timeout
2022-09-15 21:59:03, INFO: episode:44, reward:-41.88, memory size:3788, time:18.75, info:Collision
2022-09-15 21:59:04, INFO: episode:45, reward:-54.65, memory size:3885, time:24.25, info:Timeout
2022-09-15 21:59:04, INFO: episode:46, reward:-20.62, memory size:3920, time:8.75, info:Collision
2022-09-15 21:59:04, INFO: episode:47, reward:-40.58, memory size:4017, time:24.25, info:Timeout
2022-09-15 21:59:04, INFO: episode:48, reward:-49.65, memory size:4114, time:24.25, info:Timeout
2022-09-15 21:59:04, INFO: episode:49, reward:-10.40, memory size:4116, time:0.5, info:Collision
2022-09-15 21:59:04, INFO: episode:50, reward:-39.59, memory size:4213, time:24.25, info:Timeout
2022-09-15 21:59:04, INFO: episode:51, reward:-23.79, memory size:4249, time:9.0, info:Collision
2022-09-15 21:59:05, INFO: episode:52, reward:-48.25, memory size:4346, time:24.25, info:Timeout
2022-09-15 21:59:05, INFO: episode:53, reward:-40.96, memory size:4443, time:24.25, info:Timeout
2022-09-15 21:59:05, INFO: episode:54, reward:-32.74, memory size:4496, time:13.25, info:Collision
2022-09-15 21:59:05, INFO: episode:55, reward:-22.15, memory size:4532, time:9.0, info:Collision
2022-09-15 21:59:05, INFO: episode:56, reward:-22.43, memory size:4578, time:11.5, info:Collision
2022-09-15 21:59:05, INFO: episode:57, reward:-10.47, memory size:4580, time:0.5, info:Collision
2022-09-15 21:59:05, INFO: episode:58, reward:-40.83, memory size:4675, time:23.75, info:Collision
2022-09-15 21:59:05, INFO: episode:59, reward:-11.35, memory size:4679, time:1.0, info:Collision
2022-09-15 21:59:06, INFO: episode:60, reward:-52.82, memory size:4776, time:24.25, info:Timeout
2022-09-15 21:59:06, INFO: episode:61, reward:-55.71, memory size:4873, time:24.25, info:Timeout
2022-09-15 21:59:06, INFO: episode:62, reward:-61.33, memory size:4970, time:24.25, info:Timeout
2022-09-15 21:59:06, INFO: episode:63, reward:-38.32, memory size:5066, time:24.0, info:Collision
2022-09-15 21:59:07, INFO: episode:64, reward:-53.70, memory size:5163, time:24.25, info:Timeout
2022-09-15 21:59:07, INFO: episode:65, reward:-10.83, memory size:5168, time:1.25, info:Collision
2022-09-15 21:59:07, INFO: episode:66, reward:-10.77, memory size:5172, time:1.0, info:Collision
2022-09-15 21:59:07, INFO: episode:67, reward:-51.34, memory size:5269, time:24.25, info:Timeout
2022-09-15 21:59:07, INFO: episode:68, reward:-11.95, memory size:5276, time:1.75, info:Collision
2022-09-15 21:59:07, INFO: episode:69, reward:-41.28, memory size:5373, time:24.25, info:Timeout
2022-09-15 21:59:07, INFO: episode:70, reward:-10.61, memory size:5376, time:0.75, info:Collision
2022-09-15 21:59:07, INFO: episode:71, reward:-47.19, memory size:5473, time:24.25, info:Timeout
2022-09-15 21:59:07, INFO: episode:72, reward:-22.47, memory size:5510, time:9.25, info:Collision
2022-09-15 21:59:08, INFO: episode:73, reward:-48.31, memory size:5607, time:24.25, info:Timeout
2022-09-15 21:59:08, INFO: episode:74, reward:-43.89, memory size:5704, time:24.25, info:Timeout
2022-09-15 21:59:08, INFO: episode:75, reward:-23.83, memory size:5744, time:10.0, info:Collision
2022-09-15 21:59:08, INFO: episode:76, reward:-58.55, memory size:5841, time:24.25, info:Timeout
2022-09-15 21:59:08, INFO: episode:77, reward:-50.26, memory size:5938, time:24.25, info:Timeout
2022-09-15 21:59:09, INFO: episode:78, reward:-41.95, memory size:6035, time:24.25, info:Timeout
2022-09-15 21:59:09, INFO: episode:79, reward:-43.43, memory size:6132, time:24.25, info:Timeout
2022-09-15 21:59:09, INFO: episode:80, reward:-54.70, memory size:6229, time:24.25, info:Timeout
2022-09-15 21:59:09, INFO: episode:81, reward:-48.72, memory size:6326, time:24.25, info:Timeout
2022-09-15 21:59:09, INFO: episode:82, reward:-22.42, memory size:6374, time:12.0, info:Collision
2022-09-15 21:59:10, INFO: episode:83, reward:-38.25, memory size:6471, time:24.25, info:Timeout
2022-09-15 21:59:10, INFO: episode:84, reward:-37.92, memory size:6545, time:18.5, info:Collision
2022-09-15 21:59:10, INFO: episode:85, reward:-44.66, memory size:6638, time:23.25, info:Collision
2022-09-15 21:59:10, INFO: episode:86, reward:-49.80, memory size:6735, time:24.25, info:Timeout
2022-09-15 21:59:10, INFO: episode:87, reward:-42.62, memory size:6832, time:24.25, info:Timeout
2022-09-15 21:59:11, INFO: episode:88, reward:-20.98, memory size:6864, time:8.0, info:Collision
2022-09-15 21:59:11, INFO: episode:89, reward:-26.35, memory size:6916, time:13.0, info:Collision
2022-09-15 21:59:11, INFO: episode:90, reward:-52.00, memory size:7013, time:24.25, info:Timeout
2022-09-15 21:59:11, INFO: episode:91, reward:-44.41, memory size:7110, time:24.25, info:Timeout
2022-09-15 21:59:11, INFO: episode:92, reward:-52.89, memory size:7207, time:24.25, info:Timeout
2022-09-15 21:59:12, INFO: episode:93, reward:-48.43, memory size:7304, time:24.25, info:Timeout
2022-09-15 21:59:12, INFO: episode:94, reward:-34.30, memory size:7401, time:24.25, info:Timeout
2022-09-15 21:59:12, INFO: episode:95, reward:-41.12, memory size:7484, time:20.75, info:Collision
2022-09-15 21:59:12, INFO: episode:96, reward:-43.65, memory size:7581, time:24.25, info:Timeout
2022-09-15 21:59:12, INFO: episode:97, reward:-43.60, memory size:7678, time:24.25, info:Timeout
2022-09-15 21:59:13, INFO: episode:98, reward:-56.16, memory size:7775, time:24.25, info:Timeout
